Year,HadCRUT,GISTEMP,BerkeleyEarth
1988.0,0.2821517,0.39,0.45533333333333337
1989.0,0.1792503,0.27,0.18833333333333332
1990.0,0.36058238,0.45,0.4999166666666666
1991.0,0.33889654,0.41,0.42924999999999996
1992.0,0.12489683,0.22,0.05675
1993.0,0.16570719,0.23,0.05516666666666667
1994.0,0.23354979,0.32,0.2763333333333333
1995.0,0.37686613,0.45,0.5725833333333333
1996.0,0.27668938,0.33,0.27499999999999997
1997.0,0.4223085,0.47,0.39441666666666664
1998.0,0.5773417,0.61,0.73775
1999.0,0.32448497,0.38,0.49466666666666664
2000.0,0.33108476,0.39,0.3958333333333333
2001.0,0.48928034,0.53,0.6266666666666667
2002.0,0.5434665,0.63,0.7798333333333334
2003.0,0.54417014,0.62,0.7430833333333333
2004.0,0.46737072,0.53,0.5406666666666666
2005.0,0.6068625,0.68,0.922
2006.0,0.5725527,0.64,0.7560833333333333
2007.0,0.5917013,0.66,0.9465833333333333
2008.0,0.46564984,0.54,0.6399166666666667
2009.0,0.5967816,0.66,0.70975
2010.0,0.6803714,0.73,0.9145
2011.0,0.53769773,0.61,0.7110833333333333
2012.0,0.57760704,0.65,0.6843333333333333
2013.0,0.6235753,0.68,0.7900833333333334
2014.0,0.67287165,0.75,0.7460833333333333
2015.0,0.8251144,0.9,1.0448333333333333
2016.0,0.9329271,1.02,1.273
2017.0,0.84517425,0.92,1.1261666666666665
2018.0,0.76265407,0.85,0.96375
2019.0,0.8910726,0.98,1.16425
2020.0,0.9229205,1.01,1.3234166666666667
2021.0,0.76190555,0.85,1.0491666666666666
2022.0,0.8013053,0.9,1.0489166666666667
2023.0,1.1003127,1.18,1.4440833333333334
2024.0,1.1808001,1.29,1.67225
